SPEAKER	SEGMENT	DIALECT_TRANSCRIPTION	START_TIME	END_TIME	TIER	TIER_ID
HF.01	t	"dā ew meseleyēkit bo bigēřimewe"	0.0	2.0	v	TIE_HF
HF.02	t	"dełēn melāyēk le dēyēkī köredēyekī"	2.0	5.0	v	TIE_HF
HF.03	t	"yānī eme dēy kēm pē dełēyn köredē"	5.0	8.0	v	TIE_HF
HF.04	t	"lew köredēyey herčend deykird be berātekey xoy be ře nedečū"	8.0	12.0	v	TIE_HF
HF.05	t	"yānī be huqūqekey xoy be ře nedečū"	12.0	14.0	v	TIE_HF
HF.06	t	"herčend fikrī lē dekirdewe hīč fāydeyī nebū"	14.0	17.0	v	TIE_HF
HF.07	t	"nejāřēkīšī lē bū"	17.0	19.0	v	TIE_HF
HF.08	t	"nejāřekeš kutī kuře jā ewe emin čāwim le kāk miħemedī bē"	19.0	23.0	v	TIE_HF
HF.09	t	"āmūrekey biškē"	23.0	24.0	v	TIE_HF
HF.10	t	"āmūr dezānī čīye?"	24.0	24.0	v	TIE_HF
HF.11	t	"ewey gā jūtī pē dekā"	24.0	27.0	v	TIE_HF
HF.12	t	"dā xwā āyā de řožē dā emin āmūrēkī hełbestim"	27.0	30.0	v	TIE_HF
HF.13	t	"emin bewey be ře nāčim"	30.0	31.0	v	TIE_HF
HF.14	t	"xeyātēkīšī lē bū"	31.0	32.0	v	TIE_HF
HF.15	t	"xeyāteke, hersēkyān kewtine kin ēk, hersēkyān"	32.0	37.0	v	TIE_HF
HF.16	t	"kutī eme tedbīrēkī bo xomān bikeyn"	37.0	41.0	v	TIE_HF
HF.17	t	"xo eto ne bew berāte be ře dečī"	41.0	43.0	v	TIE_HF
HF.18	t	"ne emin bew xeyātīye be ře dečim"	43.0	45.0	v	TIE_HF
HF.19	t	"ne etož bew nejāřey be ře dečī"	45.0	47.0	v	TIE_HF
HF.20	t	"kutī či bikeyn čākā"	47.0	49.0	v	TIE_HF
HF.21	t	"kutī wiłłāhī mil denēyn le qāčāxčīyātīye"	49.0	52.0	v	TIE_HF
HF.22	t	"yēk dełē qāčāxčī yēk dełē tujāřet"	52.0	56.0	v	TIE_HF
HF.23	t	"tujāřetē, bā bičīn tujāřetīyēkē bikeyn"	56.0	59.0	v	TIE_HF
HF.24	t	"kutī hestān řoīštin"	59.0	61.0	v	TIE_HF
HF.25	t	"wānēkēkyān kird"	61.0	63.0	v	TIE_HF
HF.26	t	"āyā her šitēkī we gīrīān kewit yān we gīrīān nekewit"	63.0	66.0	v	TIE_HF
HF.27	t	"hātin le čolēkī mānewe čol"	66.0	68.0	v	TIE_HF
HF.28	t	"čol dezānī čīye?"	68.0	70.0	v	TIE_HF
HF.29	t	"čolge, yānī hīč kesī lē nebū"	70.0	73.0	v	TIE_HF
HF.30	t	"de xeter dāyā"	73.0	75.0	v	TIE_HF
HF.31	t	"yānī ewe heger dizēk četeyēk dizēk bē"	75.0	78.0	v	TIE_HF
HF.32	t	"ewāne jānyān de xeter dāyā"	78.0	80.0	v	TIE_HF
HF.33	t	"herj māłēkī pēyān bē lēyān destēnin"	80.0	82.0	v	TIE_HF
HF.34	t	"kutī wā čāke {# yēkmān} dūmān binūīn yēkmān nīgābānīē bikēšīn"	82.0	86.0	v	TIE_HF
HF.35	t	"eme čwār neferīn lēre dā"	86.0	89.0	v	TIE_HF
HF.36	t	"welī ewān sē nefer būn"	89.0	91.0	v	TIE_HF
HF.37	t	"yēkyān kutī emin dū sāʕetān nīgābānī dekēšim engo binūn"	91.0	95.0	v	TIE_HF
HF.38	t	"ewī dīkeyān kutī dūwāyā emin hestēne"	95.0	98.0	v	TIE_HF
HF.39	t	"ewī dīkeš kutī dūwāyā emin hestēne"	98.0	99.0	v	TIE_HF
HF.40	t	"būne sē pās"	99.0	101.0	v	TIE_HF
HF.41	t	"ħerzit bikem nejāř norey hāt"	101.0	106.0	v	TIE_HF
HF.42	t	"nejāř norey hāt"	106.0	108.0	v	TIE_HF
HF.43	t	"kuře kutī emin ege āwā dānīšim xewim dē"	108.0	111.0	v	TIE_HF
HF.44	t	"hēnāy yēk kolkedārēkī peydā kird"	111.0	114.0	v	TIE_HF
HF.45	t	"lew dārey yēk ʕīnsānī durust kird, ʕīnsān"	114.0	118.0	v	TIE_HF
HF.46	t	"ege ʕīnsānekey durust kird"	118.0	121.0	v	TIE_HF
HF.47	t	"wextī tewāw bū"	121.0	125.0	v	TIE_HF
HF.48	t	"yānī wextī nīgābānīyekey tewāw bū"	125.0	126.0	v	TIE_HF
HF.49	t	"ege wextī nīgābānīyekey tewāw bū"	126.0	128.0	v	TIE_HF
HF.50	t	"süleymān heste norete"	128.0	130.0	v	TIE_HF
HF.51	t	"süleymān ege hestā xeyāt bū"	130.0	133.0	v	TIE_HF
HF.52	t	"bełē biřēkī hetā dim ū čāwī hestiřīyewe xewī lē řewī w"	133.0	136.0	v	TIE_HF
HF.53	t	"biřēkī dim ū čāw šūt"	136.0	137.0	v	TIE_HF
HF.54	t	"ege temāšāy kird spīyāyēk ho lewendey dīyāre"	137.0	141.0	v	TIE_HF
HF.55	t	"ey kuře kutī ew spīyāe debēt či bē"	141.0	142.0	v	TIE_HF
HF.56	t	"ege lēy čo pēšē"	142.0	144.0	v	TIE_HF
HF.57	t	"temāšāy kird ewe kolkedārēke"	144.0	147.0	v	TIE_HF
HF.58	t	"nejāř durustī kirdūwe"	147.0	148.0	v	TIE_HF
HF.59	t	"kutī ne nejāř ewey boyā durus kirdūwe"	148.0	150.0	v	TIE_HF
HF.60	t	"{# eger} eger xewī lē nekewē"	150.0	154.0	v	TIE_HF
HF.61	t	"xew be serī dā neyē"	154.0	156.0	v	TIE_HF
HF.62	t	"eminīš dēnim lew bergāney lew pārčāney hemāne"	156.0	161.0	v	TIE_HF
HF.63	t	"lew pārčāne yek bergī bo durus dekem"	161.0	163.0	v	TIE_HF
HF.64	t	"wek ħīsānekī bā lewē řāwestē"	163.0	165.0	v	TIE_HF
HF.65	t	"kutī zor čāke"	165.0	167.0	v	TIE_HF
HF.68	t	"ewīš wextī tewāw bū"	169.0	170.0	v	TIE_HF
HF.69	t	"kutī māmostā heste norete"	170.0	173.0	v	TIE_HF
HF.70	t	"kutī ege hestā norey bū"	173.0	176.0	v	TIE_HF
HF.71	t	"ewīš ege ā āwā temāšāy kird"	176.0	179.0	v	TIE_HF
HF.72	t	"xudā ew řešāye dīyāre"	179.0	180.0	v	TIE_HF
HF.73	t	"herčend kutī kēy kēy"	180.0	181.0	v	TIE_HF
HF.74	t	"bēřuħ bū īdī"	181.0	183.0	v	TIE_HF
HF.75	t	"kutī eto či kesī bo jūwāb nādeyewe?"	183.0	186.0	v	TIE_HF
HF.76	t	"kolkedār be ʕerzī dā kewit"	186.0	188.0	v	TIE_HF
HF.77	t	"kutī ne ewe kārī nejāř ū kārī xeyātīye"	188.0	191.0	v	TIE_HF
HF.78	t	"eminīš deznwēž hełdegirim"	191.0	193.0	v	TIE_HF
HF.79	t	"dū řikāʕet nwēž dekem"	193.0	195.0	v	TIE_HF
HF.80	t	"le ber xudāy depāřēmewe"	195.0	197.0	v	TIE_HF
HF.81	t	"biřēk qurʕān dexönim"	197.0	198.0	v	TIE_HF
HF.82	t	"beškim xudā řiħmēkmān pē bikā"	198.0	200.0	v	TIE_HF
HF.83	t	"řiħī we ber bē"	200.0	202.0	v	TIE_HF
HF.84	t	"bełē kutī zor čāke"	202.0	206.0	v	TIE_HF
HF.85	t	"ew tekbīrey kird ū"	206.0	207.0	v	TIE_HF
HF.86	t	"be ħimrī ew xudāyey řuħī we ber hāt"	207.0	211.0	v	TIE_HF
HF.87	t	"ewe ke meseleyī pēšīnīyāne"	211.0	213.0	v	TIE_HF
HF.88	t	"yānī eger čāk bī āwāyā"	213.0	217.0	v	TIE_HF
HF.89	t	"jā eto dewey dā"	217.0	218.0	v	TIE_HF
HF.90	t	"eto ew kulkedāre bote ħāfretēk deydey be kīhāyān?"	218.0	223.0	v	TIE_HF
HF.91	t	"deydey be kīhāyān eto?"	223.0	225.0	v	TIE_HF
HF.92	t	"deydey be melāyī deydey be xeyātī deydey be nejāřī?"	225.0	228.0	v	TIE_HF
HF.93	t	"le to depirsim"	228.0	231.0	v	TIE_HF
HF.94	t	"heqī melāye"	231.0	233.0	v	TIE_HF
HF.95	t	"duruste"	233.0	234.0	v	TIE_HF
HF.96	t	"ew le ber xudāy pāřāwetewe řuħī we ber hātūwe"	234.0	239.0	v	TIE_HF